id,product_id,brand,product_line,product_class,product_size,list_price,standard_cost
62,26,WeareA2B,Standard,medium,medium,1992.93,762.63
63,27,Trek Bicycles,Standard,low,medium,1057.51,154.4
64,27,Trek Bicycles,Standard,medium,medium,499.53,388.72
65,28,Solex,Road,medium,small,1703.52,1516.13
66,28,Norco Bicycles,Standard,medium,small,1216.14,1082.36
67,29,Norco Bicycles,Road,medium,medium,543.39,407.54
68,29,WeareA2B,Standard,medium,medium,1065.03,230.09
69,30,Solex,Standard,high,medium,748.17,448.9
70,30,OHM Cycles,Standard,medium,medium,1227.34,770.89
71,31,Giant Bicycles,Standard,medium,medium,230.91,173.18
72,31,WeareA2B,Standard,medium,medium,752.64,205.36
73,32,Giant Bicycles,Standard,high,medium,1179.0,707.4
74,32,Giant Bicycles,Standard,medium,medium,642.7,211.37
75,33,Giant Bicycles,Standard,medium,small,1311.44,1167.18
76,33,OHM Cycles,Road,medium,small,1810.0,1610.9
77,34,Norco Bicycles,Road,high,large,774.53,464.72
78,34,WeareA2B,Standard,medium,medium,1231.15,161.6
79,35,Giant Bicycles,Standard,medium,medium,1403.5,954.82
80,35,Trek Bicycles,Standard,low,medium,1057.51,154.4
81,36,Solex,Standard,low,medium,945.04,507.58
82,37,OHM Cycles,Standard,low,medium,1793.43,248.82
83,38,Trek Bicycles,Standard,medium,large,2091.47,388.92
84,38,Solex,Standard,medium,medium,1577.53,826.51
85,39,Giant Bicycles,Standard,medium,large,1812.75,582.48
86,40,OHM Cycles,Standard,high,medium,1458.17,874.9
87,40,Trek Bicycles,Road,medium,large,1894.19,598.76
88,41,Norco Bicycles,Standard,low,medium,958.74,748.9
89,41,Solex,Road,medium,medium,416.98,312.74
90,42,OHM Cycles,Road,medium,small,1810.0,1610.9
91,43,Solex,Standard,medium,medium,1151.96,649.49
92,43,Norco Bicycles,Standard,medium,medium,1555.58,818.01
93,44,WeareA2B,Standard,medium,medium,1769.64,108.76
94,45,Solex,Standard,medium,medium,441.49,84.99
95,45,Trek Bicycles,Road,low,medium,980.37,234.43
96,46,Solex,Standard,low,medium,1289.85,74.51
97,46,OHM Cycles,Standard,low,medium,1793.43,248.82
98,47,Trek Bicycles,Road,low,small,1720.7,1531.42
99,48,WeareA2B,Standard,medium,medium,1762.96,950.52
100,49,Trek Bicycles,Road,medium,medium,533.51,400.13
101,49,Solex,Standard,medium,large,1061.56,733.58
102,50,WeareA2B,Standard,medium,small,175.89,131.92
103,50,Giant Bicycles,Standard,medium,medium,642.7,211.37
104,51,OHM Cycles,Standard,high,medium,2005.66,1203.4
105,52,OHM Cycles,Road,medium,medium,1280.28,829.51
106,52,Solex,Road,medium,large,1777.8,820.78
107,53,OHM Cycles,Standard,medium,medium,795.34,101.58
108,53,Giant Bicycles,Standard,high,medium,1274.93,764.96
109,54,WeareA2B,Standard,medium,medium,1292.84,13.44
110,55,Trek Bicycles,Road,medium,large,1894.19,598.76
111,56,Norco Bicycles,Mountain,low,small,688.63,612.88
112,56,OHM Cycles,Standard,medium,medium,183.86,137.9
113,57,WeareA2B,Touring,medium,large,1890.39,260.14
114,58,OHM Cycles,Standard,medium,medium,912.52,141.4
115,58,OHM Cycles,Road,medium,medium,1280.28,829.51
116,59,WeareA2B,Standard,medium,small,1415.01,1259.36
117,59,Solex,Standard,medium,large,1061.56,733.58
118,60,Giant Bicycles,Standard,high,small,1977.36,1759.85
119,61,OHM Cycles,Standard,low,medium,71.16,56.93
120,61,Norco Bicycles,Standard,medium,small,586.45,521.94
121,62,Solex,Standard,high,medium,1024.66,614.8
122,62,Solex,Standard,medium,medium,478.16,298.72
123,63,WeareA2B,Standard,medium,medium,1992.93,762.63
124,63,Solex,Standard,medium,medium,1483.2,99.59
125,64,Giant Bicycles,Standard,high,small,1977.36,1759.85
126,64,Trek Bicycles,Standard,medium,large,1469.44,596.55
127,65,WeareA2B,Standard,medium,medium,1807.45,778.69
128,66,Solex,Standard,medium,medium,1163.89,589.27
129,66,Giant Bicycles,Road,low,small,590.26,525.33
130,67,Norco Bicycles,Road,medium,medium,544.05,376.84
131,67,Solex,Standard,medium,large,1071.23,380.74
132,68,OHM Cycles,Standard,medium,medium,1636.9,44.71
133,69,Norco Bicycles,Road,medium,large,1240.31,795.1
134,69,Giant Bicycles,Road,medium,medium,792.9,594.68
135,70,Norco Bicycles,Road,medium,medium,1036.59,206.35
136,70,Trek Bicycles,Standard,high,medium,495.72,297.43
137,71,Solex,Standard,high,large,1842.92,1105.75
138,72,Norco Bicycles,Standard,medium,medium,360.4,270.3
139,72,OHM Cycles,Standard,medium,medium,912.52,141.4
140,73,Solex,Standard,medium,medium,1945.43,333.18
141,74,WeareA2B,Standard,medium,medium,1228.07,400.91
142,75,Giant Bicycles,Touring,medium,large,1873.97,863.95
143,76,WeareA2B,Road,low,small,1172.78,1043.77
144,76,WeareA2B,Standard,low,medium,642.31,513.85
145,77,Norco Bicycles,Road,medium,large,1240.31,795.1
146,77,WeareA2B,Standard,medium,medium,1769.64,108.76
147,78,Giant Bicycles,Standard,medium,large,1765.3,709.48
148,79,Norco Bicycles,Standard,medium,medium,1555.58,818.01
149,79,Solex,Touring,medium,large,2083.94,675.03
150,80,OHM Cycles,Touring,low,medium,1073.07,933.84
151,80,Trek Bicycles,Standard,medium,large,1469.44,596.55
152,81,Solex,Standard,medium,medium,1151.96,649.49
153,81,Norco Bicycles,Standard,medium,small,586.45,521.94
154,82,Giant Bicycles,Road,medium,medium,1538.99,829.65
155,82,Norco Bicycles,Standard,high,medium,1148.64,689.18
156,83,Solex,Touring,medium,large,2083.94,675.03
157,84,Trek Bicycles,Road,medium,medium,290.62,215.14
158,84,Giant Bicycles,Road,medium,medium,792.9,594.68
159,85,WeareA2B,Standard,medium,medium,752.64,205.36
160,86,Norco Bicycles,Road,high,large,774.53,464.72
161,86,OHM Cycles,Standard,medium,medium,235.63,125.07
162,87,OHM Cycles,Standard,medium,medium,1636.9,44.71
163,87,Giant Bicycles,Standard,high,medium,1179.0,707.4
164,88,Norco Bicycles,Standard,medium,medium,1198.46,381.1
165,88,Norco Bicycles,Standard,high,small,1661.92,1479.11
166,89,WeareA2B,Touring,medium,large,1362.99,57.74
167,89,Giant Bicycles,Standard,medium,large,1812.75,582.48
168,90,Solex,Standard,low,medium,945.04,507.58
169,90,Norco Bicycles,Standard,low,medium,363.01,290.41
170,91,WeareA2B,Standard,low,medium,642.31,513.85
171,91,Solex,Standard,medium,medium,100.35,75.26
172,92,WeareA2B,Touring,medium,large,1890.39,260.14
173,92,WeareA2B,Standard,medium,small,1415.01,1259.36
174,93,OHM Cycles,Standard,high,medium,1458.17,874.9
175,93,WeareA2B,Standard,medium,medium,1065.03,230.09
176,94,Giant Bicycles,Standard,medium,large,1635.3,993.66
177,95,Giant Bicycles,Standard,medium,large,569.56,528.43
178,95,OHM Cycles,Touring,low,medium,1073.07,933.84
179,96,Giant Bicycles,Standard,medium,large,1635.3,993.66
180,96,WeareA2B,Road,low,small,1172.78,1043.77
181,97,Solex,Standard,medium,large,202.62,151.96
182,97,OHM Cycles,Road,medium,medium,742.54,667.4
183,98,Trek Bicycles,Standard,high,medium,358.39,215.03
184,98,OHM Cycles,Standard,medium,medium,795.34,101.58
185,99,Trek Bicycles,Road,low,small,1720.7,1531.42
186,99,OHM Cycles,Standard,medium,medium,1227.34,770.89
187,100,Norco Bicycles,Road,medium,medium,1036.59,206.35
188,100,Trek Bicycles,Standard,medium,small,1386.84,1234.29
